,info,timestamp,datetime,symbol,id,order,type,side,takerOrMaker,price,amount,cost,fee,fees
0,"{'a': '1917338795', 'p': '16717.63000000', 'q': '0.04080000', 'f': '2237934657', 'l': '2237934657', 'T': '1669261668528', 'm': True, 'M': True}",1669261668528,2022-11-24T03:47:48.528Z,BTC/USDT,1917338795,,,sell,taker,16717.63,0.0408,682.079304,,[]
1,"{'a': '1917338796', 'p': '16717.63000000', 'q': '0.00250000', 'f': '2237934658', 'l': '2237934658', 'T': '1669261668529', 'm': True, 'M': True}",1669261668529,2022-11-24T03:47:48.529Z,BTC/USDT,1917338796,,,sell,taker,16717.63,0.0025,41.794075,,[]
2,"{'a': '1917338797', 'p': '16718.19000000', 'q': '0.00065000', 'f': '2237934659', 'l': '2237934659', 'T': '1669261668704', 'm': False, 'M': True}",1669261668704,2022-11-24T03:47:48.704Z,BTC/USDT,1917338797,,,buy,taker,16718.19,0.00065,10.8668235,,[]
3,"{'a': '1917338798', 'p': '16717.75000000', 'q': '0.00200000', 'f': '2237934660', 'l': '2237934660', 'T': '1669261668979', 'm': True, 'M': True}",1669261668979,2022-11-24T03:47:48.979Z,BTC/USDT,1917338798,,,sell,taker,16717.75,0.002,33.4355,,[]
4,"{'a': '1917338799', 'p': '16717.64000000', 'q': '0.00732000', 'f': '2237934661', 'l': '2237934661', 'T': '1669261668979', 'm': True, 'M': True}",1669261668979,2022-11-24T03:47:48.979Z,BTC/USDT,1917338799,,,sell,taker,16717.64,0.00732,122.3731248,,[]
5,"{'a': '1917338800', 'p': '16717.66000000', 'q': '0.01733000', 'f': '2237934662', 'l': '2237934662', 'T': '1669261669057', 'm': True, 'M': True}",1669261669057,2022-11-24T03:47:49.057Z,BTC/USDT,1917338800,,,sell,taker,16717.66,0.01733,289.7170478,,[]
6,"{'a': '1917338801', 'p': '16718.18000000', 'q': '0.01184000', 'f': '2237934663', 'l': '2237934663', 'T': '1669261669097', 'm': True, 'M': True}",1669261669097,2022-11-24T03:47:49.097Z,BTC/USDT,1917338801,,,sell,taker,16718.18,0.01184,197.9432512,,[]
7,"{'a': '1917338802', 'p': '16718.18000000', 'q': '0.05177000', 'f': '2237934664', 'l': '2237934664', 'T': '1669261669098', 'm': True, 'M': True}",1669261669098,2022-11-24T03:47:49.098Z,BTC/USDT,1917338802,,,sell,taker,16718.18,0.05177,865.5001786,,[]
8,"{'a': '1917338803', 'p': '16718.16000000', 'q': '0.00061000', 'f': '2237934665', 'l': '2237934665', 'T': '1669261669164', 'm': True, 'M': True}",1669261669164,2022-11-24T03:47:49.164Z,BTC/USDT,1917338803,,,sell,taker,16718.16,0.00061,10.1980776,,[]
9,"{'a': '1917338804', 'p': '16718.17000000', 'q': '0.05300000', 'f': '2237934666', 'l': '2237934666', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338804,,,buy,taker,16718.17,0.053,886.06301,,[]
10,"{'a': '1917338805', 'p': '16718.18000000', 'q': '0.00560000', 'f': '2237934667', 'l': '2237934667', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338805,,,buy,taker,16718.18,0.0056,93.621808,,[]
11,"{'a': '1917338806', 'p': '16718.19000000', 'q': '0.01314000', 'f': '2237934668', 'l': '2237934669', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338806,,,buy,taker,16718.19,0.01314,219.6770166,,[]
12,"{'a': '1917338807', 'p': '16718.20000000', 'q': '0.00068000', 'f': '2237934670', 'l': '2237934670', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338807,,,buy,taker,16718.2,0.00068,11.368376,,[]
13,"{'a': '1917338808', 'p': '16718.49000000', 'q': '0.00069000', 'f': '2237934671', 'l': '2237934671', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338808,,,buy,taker,16718.49,0.00069,11.5357581,,[]
14,"{'a': '1917338809', 'p': '16718.64000000', 'q': '0.00540000', 'f': '2237934672', 'l': '2237934672', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338809,,,buy,taker,16718.64,0.0054,90.280656,,[]
15,"{'a': '1917338810', 'p': '16718.74000000', 'q': '0.08972000', 'f': '2237934673', 'l': '2237934673', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338810,,,buy,taker,16718.74,0.08972,1500.0053528,,[]
16,"{'a': '1917338811', 'p': '16718.75000000', 'q': '0.13954000', 'f': '2237934674', 'l': '2237934675', 'T': '1669261669299', 'm': False, 'M': True}",1669261669299,2022-11-24T03:47:49.299Z,BTC/USDT,1917338811,,,buy,taker,16718.75,0.13954,2332.934375,,[]
