,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,FR AVG,PFR AVG,Liqs. 24H
0,0.0083,14200000000,7100000000,0.0126,0.0861,0,0,11400000
1,0.0344,1600000000,235500000,0.214,0.006,0.0022,0.0021,1700000
2,0.0196,1200000000,260300000,0.0486,0.0077,0.0001,0.0001,1500000
3,0.0003,1100000000,98500000,0.0455,0.0067,0.0002,0.0001,1300000
4,0.0084,1100000000,219500000,0.0542,0.005,0.0001,0.0002,1700000
5,0.0185,865000000,43400000,0.1511,0.003,0.0001,0,1000000
6,0.0137,842000000,125300000,0.0203,0.0085,0.0001,0.0001,1300000
7,0.0112,711700000,224400000,0.0384,0.0053,0.0001,0.0002,581900
8,0.1009,556700000,57300000,0.1622,0.0039,0.0001,0.0002,596600
9,0.0315,546900000,33200000,0.0366,0.0023,0.0001,0,603900
10,0.0487,477200000,157300000,0.0985,0.0007,0,0.0001,572700
11,0.0522,317000000,41600000,0.1321,0.0028,0.0001,0.0001,158500
12,0.0006,311800000,95700000,0.0182,0.0065,0.0002,0.0001,372500
13,0.0114,299700000,146400000,0.0072,0,0.0001,0.0002,550600
14,0.0146,284400000,114800000,0.0104,0.0078,0.0002,0.0003,230200
15,0.0013,270700000,32700000,0.0128,0.0022,0.0002,0.0001,838600
16,0.0314,242500000,16800000,0.2129,0.0011,0.0007,0.0012,151400
17,0.0066,205800000,63800000,0.017,0.0043,0.0001,0.0001,235600
18,0.0028,172100000,162600000,0.0162,0.0011,0.0003,0.0002,150600
19,0.0669,165800000,15100000,0.0202,0.001,0.0001,0.0001,249100
20,0.0176,165000000,20900000,0.0323,0.0014,0.0001,0.0002,119200
21,0.045,164200000,47800000,0.1052,0.0033,0.0004,0.0004,386900
22,0.0427,145500000,26200000,0.0002,0.0018,0.0001,0.0002,70500
23,0.0054,143100000,62300000,0.0138,0.0042,0.0002,0.0001,173300
24,0.0266,140300000,25200000,0.0007,0.0017,0.0001,0.0002,93100
25,0.0079,137200000,32800000,0.0105,0.0022,0.0001,0.0001,603700
26,0.0503,134300000,26000000,0.0796,0.0018,0.0003,0.0005,325200
27,0.0097,131800000,87600000,0.0135,0.006,0.0001,0,115800
28,0.0168,127300000,48100000,0.0259,0.0033,0.0001,0.0002,51500
29,0.0671,127200000,11600000,0.5898,0.0008,0.0001,0.0001,225300
30,0.003,122800000,32500000,0.0573,0.0022,0.0001,0.0001,138200
31,0.0256,118600000,43900000,0.0157,0.003,0.0003,0.0001,133400
32,0.0244,116400000,87200000,0.0273,0.0059,0.0001,0.0004,161200
33,0.0079,107600000,33700000,0.0318,0.0023,0.0002,0,62200
34,N/A,105300000,2800000,0.356,0.0002,0.0012,0.0012,331300
35,0.0336,97400000,24000000,0.0321,0.0016,0.0001,0.0001,130500
36,0.017,95600000,74000000,0.0107,0.005,0.0001,0.0003,146900
37,0.0394,95300000,47800000,0.0204,0.0033,0,0,151300
38,0.0006,88400000,28200000,0.0515,0.0019,0.0002,0.0001,165900
39,0.0277,85400000,9200000,0.1062,0.0006,0.0001,0.0001,58600
40,0.0098,82500000,27900000,0.0415,0.0019,0.0001,0.0004,146000
41,0.0146,72000000,24100000,0,0.0016,0,0.0001,124600
