Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
Ethereum  ETH,"$1,207.50",-0.04%,$16.2b,$4.0b,-0.97%,27.41%,0.25,+0.0005%,+0.0069%,$14.8m
Bitcoin  BTC,"$16,639.30",+0.83%,$14.2b,$7.1b,+1.26%,48.61%,0.5,-0.0047%,-0.0002%,$11.4m
Solana  SOL,$13.50,-3.44%,$1.6b,$235.5m,+21.40%,1.60%,0.15,-0.2158%,-0.2084%,$1.7m
Ripple  XRP,$0.3754,+1.96%,$1.2b,$260.3m,+4.86%,1.77%,0.23,+0.0123%,+0.0065%,$1.5m
Chiliz  CHZ,$0.2292,-0.03%,$1.1b,$98.5m,+4.55%,0.67%,0.09,+0.0179%,+0.0138%,$1.3m
Dogecoin  DOGE,$0.0844,-0.84%,$1.1b,$219.5m,-5.42%,1.50%,0.2,+0.0150%,+0.0166%,$1.7m
Aptos  APT,$4.58,-1.85%,$865.0m,$43.4m,-15.11%,0.30%,0.05,-0.0080%,-0.0005%,$1.0m
Polygon  MATIC,$0.8820,-1.37%,$842.0m,$125.3m,-2.03%,0.85%,0.15,+0.0083%,+0.0082%,$1.3m
Binance Coin  BNB,$268.63,-1.12%,$711.7m,$224.4m,+3.84%,1.53%,0.32,+0.0146%,+0.0172%,$581.9k
dYdX  DYDX,$2.11,-10.09%,$556.7m,$57.3m,-16.22%,0.39%,0.1,+0.0086%,+0.0182%,$596.6k
Mask Network  MASK,$3.14,-3.15%,$546.9m,$33.2m,-3.66%,0.23%,0.06,+0.0106%,-0.0012%,$603.9k
Litecoin  LTC,$60.36,+4.87%,$477.2m,$157.3m,+9.85%,1.07%,0.33,+0.0020%,+0.0052%,$572.7k
SafePal  SFP,$0.6576,+5.22%,$317.0m,$41.6m,+13.21%,0.28%,0.13,+0.0100%,+0.0100%,$158.5k
Chainlink  LINK,$6.20,-0.06%,$311.8m,$95.7m,+1.82%,0.65%,0.31,+0.0166%,+0.0054%,$372.5k
Cardano  ADA,$0.3250,-1.14%,$299.7m,$146.4m,+0.72%,1.00%,0.49,+0.0091%,+0.0161%,$550.6k
Ethereum Classic  ETC,$19.61,-1.46%,$284.4m,$114.8m,-1.04%,0.78%,0.4,+0.0192%,+0.0260%,$230.2k
STEPN  GMT,$0.3954,+0.13%,$270.7m,$32.7m,+1.28%,0.22%,0.12,+0.0152%,+0.0144%,$838.6k
Band Protocol  BAND,$2.05,+3.14%,$242.5m,$16.8m,+21.29%,0.11%,0.07,-0.0698%,-0.1178%,$151.4k
Avalanche  AVAX,$12.97,-0.66%,$205.8m,$63.8m,+1.70%,0.43%,0.31,-0.0055%,-0.0064%,$235.6k
Polkadot  DOT,$5.68,-0.28%,$172.1m,$162.6m,+1.62%,1.11%,0.94,+0.0299%,+0.0164%,$150.6k
FOOTBALL  FOOTBALL,$901.51,+6.69%,$165.8m,$15.1m,+2.02%,0.10%,0.09,+0.0119%,+0.0131%,$249.1k
