,Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
0,Bitcoin  BTC,"$16,579.97",-0.64%,$13.5b,$7.1b,-0.34%,48.12%,0.53,+0.0034%,+0.0204%,$9.8m
1,Ethereum  ETH,"$1,204.95",-0.34%,$11.3b,$4.0b,-0.19%,27.00%,0.36,-0.0047%,+0.0047%,$5.7m
2,Chiliz  CHZ,$0.2572,+11.70%,$1.7b,$152.8m,+52.85%,1.03%,0.09,-0.0107%,+0.0100%,$1.8m
3,Litecoin  LTC,$61.72,+1.59%,$899.4m,$190.5m,+18.36%,1.28%,0.21,-0.0039%,+0.0232%,$1.6m
4,Solana  SOL,$13.16,-2.82%,$848.8m,$230.6m,-2.55%,1.55%,0.27,-0.0922%,-0.0815%,$614.5k
5,Ripple  XRP,$0.3807,+0.96%,$791.1m,$262.1m,+0.57%,1.77%,0.33,+0.0147%,+0.0156%,$1.1m
6,Dogecoin  DOGE,$0.0838,-0.94%,$754.7m,$228.3m,+3.40%,1.54%,0.3,+0.0262%,+0.0301%,$675.7k
7,SafePal  SFP,$0.7477,+12.56%,$677.7m,$64.3m,+51.28%,0.43%,0.09,+0.0095%,+0.0100%,$434.2k
8,Polygon  MATIC,$0.8719,-1.17%,$590.0m,$127.7m,+1.27%,0.86%,0.22,+0.0092%,+0.0096%,$580.9k
9,Binance Coin  BNB,$270.97,+1.09%,$468.1m,$214.1m,-3.71%,1.44%,0.46,+0.0102%,+0.0049%,$254.2k
10,Aptos  APT,$4.58,-0.67%,$451.2m,$45.0m,+4.65%,0.30%,0.1,-0.0091%,+0.0003%,$591.4k
11,dYdX  DYDX,$2.06,-2.91%,$399.2m,$52.8m,-8.90%,0.36%,0.13,+0.0149%,+0.0049%,$584.9k
12,Chainlink  LINK,$6.09,-2.86%,$333.4m,$97.2m,-0.86%,0.66%,0.29,+0.0079%,+0.0250%,$351.8k
13,Cardano  ADA,$0.3217,-1.22%,$283.0m,$151.3m,+3.11%,1.02%,0.53,+0.0296%,+0.0083%,$298.9k
14,ApeCoin  APE,$3.11,+6.70%,$281.9m,$46.8m,+42.96%,0.32%,0.17,-0.0007%,+0.0046%,$1.0m
15,Mask Network  MASK,$3.01,-3.89%,$259.8m,$35.0m,+4.07%,0.24%,0.13,+0.0079%,+0.0009%,$207.4k
16,Ethereum Classic  ETC,$19.40,-1.50%,$231.4m,$119.2m,+2.86%,0.80%,0.52,+0.0162%,+0.0054%,$386.7k
17,Algorand  ALGO,$0.2811,+5.84%,$208.5m,$34.4m,+34.88%,0.23%,0.17,+0.0182%,+0.0232%,$184.9k
18,Avalanche  AVAX,$12.99,-0.36%,$173.1m,$62.6m,-1.72%,0.42%,0.36,+0.0056%,+0.0268%,$187.3k
19,NEAR Protocol  NEAR,$1.76,-4.76%,$164.4m,$51.5m,+6.51%,0.35%,0.31,+0.0129%,+0.0090%,$479.5k
20,FOOTBALL  FOOTBALL,$949.55,+5.80%,$161.6m,$18.7m,+28.08%,0.13%,0.12,+0.0100%,+0.0171%,$195.4k
21,STEPN  GMT,$0.4001,+1.44%,$143.1m,$30.9m,-2.94%,0.21%,0.22,+0.0147%,+0.0197%,$217.3k
22,Cosmos  ATOM,$9.85,-1.45%,$126.3m,$50.3m,+3.89%,0.34%,0.4,+0.0201%,+0.0268%,$117.7k
23,Polkadot  DOT,$5.65,-0.80%,$125.1m,$162.2m,-0.17%,1.09%,1.3,+0.0048%,+0.0308%,$168.3k
24,Filecoin  FIL,$4.30,-0.60%,$114.9m,$63.4m,+1.98%,0.43%,0.55,+0.0176%,+0.0153%,$104.1k
25,Optimism  OP,$0.8874,-1.02%,$111.4m,$34.9m,+2.38%,0.24%,0.31,+0.0074%,+0.0131%,$119.5k
26,Uniswap  UNI,$5.84,+0.69%,$108.6m,$43.1m,-2.08%,0.29%,0.4,+0.0004%,+0.0612%,$107.2k
27,1000LUNC  1000LUNC,$0.1740,+0.23%,$106.1m,$25.1m,+3.63%,0.17%,0.24,+0.0095%,+0.0095%,$66.9k
28,Coin98  C98,$0.2741,+3.03%,$105.9m,$9.6m,+4.45%,0.06%,0.09,+0.0066%,+0.0071%,$215.7k
29,ConstitutionDAO  PEOPLE,$0.0222,-5.69%,$95.1m,$23.5m,+13.33%,0.16%,0.25,+0.0292%,-0.0029%,$209.2k
30,SushiSwap  SUSHI,$1.20,-3.96%,$94.6m,$25.3m,-3.32%,0.17%,0.27,+0.0239%,+0.0672%,$106.6k
31,1000SHIB  1000SHIB,$0.0090,-1.08%,$93.2m,$32.8m,+0.61%,0.22%,0.35,+0.0046%,-0.0092%,$118.2k
32,Tron  TRX,$0.0504,+0.82%,$93.2m,$85.0m,-2.52%,0.57%,0.91,-0.0136%,-0.0051%,$46.3k
33,Band Protocol  BAND,$1.94,-4.35%,$93.0m,$17.0m,+4.51%,0.11%,0.18,-0.0700%,-0.0905%,$115.2k
34,Curve DAO Token  CRV,$0.5447,-3.12%,$85.6m,$25.4m,-2.81%,0.17%,0.3,+0.0320%,+0.0348%,$123.8k
35,EOS  EOS,$0.8918,-0.83%,$78.8m,$73.6m,+0.48%,0.50%,0.93,+0.0148%,+0.0081%,$84.5k
36,Bitcoin Cash  BCH,$104.00,+0.97%,$78.7m,$87.7m,+0.70%,0.59%,1.11,-0.0004%,+0.0074%,$47.6k
37,The Sandbox  SAND,$0.5728,-1.30%,$66.5m,$28.1m,-0.69%,0.19%,0.42,+0.0323%,+0.0152%,$49.0k
38,DFI.Money  YFII,"$2,767.42",+11.72%,$66.5m,$52.0m,+9.24%,0.35%,0.78,-0.0529%,+0.2934%,$650.3k
39,Axie Infinity  AXS,$7.07,-1.80%,$64.6m,$27.8m,-3.87%,0.19%,0.43,+0.0085%,-0.0013%,$94.2k
40,Aave  AAVE,$58.32,-1.10%,$57.2m,$26.1m,+3.10%,0.18%,0.46,+0.0141%,+0.0152%,$79.6k
41,Fantom  FTM,$0.1779,-1.10%,$54.5m,$23.1m,-4.42%,0.16%,0.42,+0.0112%,+0.0071%,$133.3k
42,Decentraland  MANA,$0.4078,-2.38%,$51.3m,$21.9m,+4.31%,0.15%,0.43,-0.0032%,+0.0117%,$130.1k
43,LUNA2  LUNA2,$1.66,-0.59%,$50.9m,$12.9m,+1.18%,0.09%,0.25,+0.0100%,+0.0100%,$69.5k
44,Jasmy  JASMY,$0.0040,-4.04%,$48.1m,$9.8m,-17.80%,0.07%,0.2,+0.0029%,+0.0100%,$19.2k
45,Waves  WAVES,$2.32,+0.39%,$46.4m,$16.3m,-3.90%,0.11%,0.35,+0.0140%,+0.0106%,$75.2k
46,Arweave  AR,$10.18,+4.20%,$43.2m,$11.0m,+0.85%,0.07%,0.25,+0.0100%,+0.0100%,$25.5k
47,Kava  KAVA,$0.9045,+0.79%,$41.9m,$6.7m,+8.47%,0.05%,0.16,-0.0135%,-0.0042%,$32.0k
