Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
Ethereum  ETH,"$1,567.72",-0.39%,$18.4b,$7.0b,-4.30%,29.14%,0.38,+0.0011%,+0.0036%,$16.9m
Bitcoin  BTC,"$20,485.61",+0.27%,$12.2b,$10.3b,-0.79%,42.70%,0.85,+0.0053%,+0.0055%,$5.0m
Dogecoin  DOGE,$0.1323,-3.51%,$11.1b,$690.1m,-15.97%,2.85%,0.06,+0.0225%,+0.0144%,$15.1m
Mask Network  MASK,$4.08,+80.49%,$4.3b,$125.6m,+243.73%,0.52%,0.03,-0.3976%,-0.5692%,$4.6m
Litecoin  LTC,$60.59,+10.19%,$1.4b,$217.4m,+27.20%,0.90%,0.15,+0.0007%,+0.0017%,$2.5m
Aptos  APT,$7.29,-10.65%,$1.0b,$141.5m,-18.67%,0.59%,0.14,+0.0075%,+0.0102%,$3.5m
Ripple  XRP,$0.4608,-0.27%,$934.5m,$439.1m,-2.60%,1.82%,0.47,+0.0017%,-0.0008%,$733.8k
Chiliz  CHZ,$0.2274,+2.11%,$915.8m,$147.7m,+4.85%,0.61%,0.16,+0.0078%,+0.0030%,$813.3k
Binance Coin  BNB,$323.09,-0.11%,$909.2m,$374.0m,-2.79%,1.55%,0.41,+0.0018%,-0.0088%,$2.0m
Solana  SOL,$31.45,-2.88%,$774.6m,$417.9m,-5.77%,1.73%,0.54,+0.0016%,-0.0026%,$2.2m
ConstitutionDAO  PEOPLE,$0.0235,+21.32%,$535.7m,$34.1m,+40.48%,0.14%,0.06,+0.0050%,+0.0067%,$746.1k
1000SHIB  1000SHIB,$0.0122,-4.17%,$535.3m,$64.7m,-14.70%,0.27%,0.12,+0.0053%,+0.0053%,$1.3m
Cardano  ADA,$0.3967,-1.43%,$532.2m,$306.8m,-2.43%,1.27%,0.58,+0.0029%,+0.0022%,$1.1m
Polygon  MATIC,$0.8650,-1.68%,$515.5m,$185.9m,-9.24%,0.77%,0.36,+0.0068%,+0.0039%,$1.4m
Ethereum Classic  ETC,$23.83,-1.35%,$484.3m,$230.2m,-0.44%,0.95%,0.48,-0.0055%,-0.0069%,$944.2k
Chainlink  LINK,$7.67,-0.38%,$477.3m,$149.3m,-1.19%,0.62%,0.31,+0.0100%,+0.0139%,$927.5k
1000LUNC  1000LUNC,$0.2166,-8.10%,$431.5m,$74.7m,-16.68%,0.31%,0.17,-0.0013%,-0.0035%,$788.2k
Bitcoin Cash  BCH,$116.53,+1.07%,$369.5m,$150.5m,-0.18%,0.62%,0.41,-0.0055%,-0.0159%,$402.6k
Cosmos  ATOM,$13.50,-4.14%,$330.6m,$138.8m,-16.15%,0.57%,0.42,-0.0018%,+0.0053%,$280.9k
EOS  EOS,$1.15,-0.58%,$328.2m,$167.2m,-0.54%,0.69%,0.51,+0.0089%,+0.0073%,$287.2k
Litentry  LIT,$1.03,+17.13%,$318.3m,$16.0m,+35.76%,0.07%,0.05,+0.0100%,+0.0100%,$565.9k
Avalanche  AVAX,$18.03,-3.35%,$296.7m,$132.3m,-8.22%,0.55%,0.45,-0.0208%,-0.0112%,$689.5k
Polkadot  DOT,$6.34,-2.49%,$278.4m,$253.8m,-3.71%,1.05%,0.91,-0.0024%,+0.0044%,$819.7k
Optimism  OP,$0.9813,-1.66%,$264.8m,$64.7m,-7.57%,0.27%,0.24,+0.0092%,+0.0056%,$433.0k
SushiSwap  SUSHI,$1.55,-3.21%,$255.3m,$62.0m,-10.71%,0.26%,0.24,+0.0097%,-0.0066%,$633.5k
The Sandbox  SAND,$0.8172,-6.44%,$247.3m,$73.6m,-4.19%,0.30%,0.3,+0.0043%,-0.0035%,$714.2k
NEAR Protocol  NEAR,$2.93,-4.12%,$237.0m,$86.8m,+2.16%,0.36%,0.37,+0.0002%,-0.0009%,$1.1m
Filecoin  FIL,$5.27,-1.89%,$226.8m,$114.5m,-1.97%,0.47%,0.51,-0.0051%,-0.0108%,$316.1k
Injective Protocol  INJ,$2.39,-2.81%,$220.6m,$14.0m,-28.93%,0.06%,0.06,+0.0070%,+0.0073%,$747.2k
ApeCoin  APE,$4.36,-5.50%,$218.6m,$84.3m,-10.29%,0.35%,0.39,+0.0001%,-0.0001%,$1.2m
STEPN  GMT,$0.4966,-6.09%,$213.3m,$81.2m,-9.33%,0.34%,0.38,-0.0038%,-0.0056%,$895.8k
Curve DAO Token  CRV,$0.8825,-0.44%,$185.8m,$53.6m,+0.46%,0.22%,0.29,-0.0048%,-0.0084%,$97.8k
SHIBA INU  SHIB,$0.0000,-4.08%,$184.8m,$25.3m,-10.69%,0.10%,0.14,-0.0007%,-0.0172%,$287.1k
Gala  GALA,$0.0389,-5.21%,$174.7m,$42.2m,-8.36%,0.17%,0.24,+0.0075%,+0.0066%,$413.1k
Uniswap  UNI,$6.94,-4.22%,$171.2m,$70.0m,-9.12%,0.29%,0.41,+0.0056%,-0.0098%,$151.0k
Axie Infinity  AXS,$9.06,-3.05%,$152.6m,$66.9m,-1.56%,0.28%,0.44,-0.0332%,-0.0625%,$433.9k
Basic Attention Token  BAT,$0.3099,+4.56%,$150.6m,$16.6m,+38.40%,0.07%,0.11,+0.0075%,-0.0037%,$240.4k
Klaytn  KLAY,$0.2450,-1.10%,$137.5m,$38.3m,-7.53%,0.16%,0.28,-0.0292%,-0.0186%,$496.4k
THETA  THETA,$1.15,-2.49%,$125.6m,$28.9m,+0.43%,0.12%,0.23,+0.0021%,-0.0102%,$339.4k
Algorand  ALGO,$0.3481,-1.46%,$125.2m,$57.9m,-5.18%,0.24%,0.46,+0.0025%,+0.0106%,$77.8k
Gitcoin  GTC,$1.93,+10.98%,$124.4m,$6.8m,+18.98%,0.03%,0.05,+0.0056%,+0.0077%,$547.9k
Terra Classic  LUNC,$0.0002,-7.74%,$120.0m,$42.7m,-14.55%,0.18%,0.36,+0.0089%,+0.0005%,$625.0k
