Coin,Price,Chg 24H,Vol 24H,Open Interest,OI Chg 24H,OI Share,OI / VOL24H,FR AVG,PFR AVG,Liqs. 24H
Bitcoin  BTC,"$17,373.18",+3.47%,$65.2b,$8.2b,-2.78%,46.75%,0.13,-0.0829%,-0.0726%,$176.9m
Ethereum  ETH,"$1,280.04",+7.60%,$51.8b,$5.0b,-3.63%,28.79%,0.1,-0.0431%,-0.0706%,$135.5m
Solana  SOL,$17.10,+35.85%,$10.3b,$384.4m,-0.22%,2.20%,0.04,-1.4150%,-1.4113%,$38.3m
Dogecoin  DOGE,$0.0886,+8.12%,$4.0b,$264.9m,-6.27%,1.52%,0.07,+0.0072%,+0.0042%,$13.9m
Polygon  MATIC,$1.11,+32.44%,$3.3b,$177.1m,+24.19%,1.02%,0.05,-0.0468%,-0.0072%,$11.7m
FTX Token  FTT,$3.55,+13.07%,$2.8b,$96.7m,-5.63%,0.55%,0.03,-1.4026%,-1.5314%,$8.4m
Binance Coin  BNB,$309.49,+10.66%,$2.5b,$234.2m,-13.00%,1.34%,0.09,-0.0360%,+0.0009%,$7.2m
Ripple  XRP,$0.3827,+8.16%,$2.2b,$276.0m,-3.12%,1.58%,0.12,-0.0225%,-0.0452%,$8.0m
Chiliz  CHZ,$0.1997,+15.90%,$1.4b,$57.2m,-11.59%,0.33%,0.04,-0.0296%,-0.0348%,$4.1m
Cardano  ADA,$0.3637,+7.05%,$1.2b,$185.9m,-9.60%,1.07%,0.15,+0.0303%,+0.0180%,$5.8m
Mask Network  MASK,$3.16,+15.74%,$1.1b,$36.6m,+9.83%,0.21%,0.03,-0.1477%,-0.1837%,$2.6m
Chainlink  LINK,$7.11,+10.63%,$1.1b,$106.0m,-3.68%,0.61%,0.09,-0.0208%,-0.0718%,$4.5m
Ethereum Classic  ETC,$21.52,+5.58%,$1.1b,$152.7m,-9.48%,0.88%,0.14,+0.0375%,+0.0187%,$6.2m
Litecoin  LTC,$57.69,+7.38%,$1.1b,$160.8m,-7.16%,0.92%,0.15,+0.0089%,+0.0310%,$3.2m
Aptos  APT,$5.01,+26.86%,$855.1m,$53.8m,+15.78%,0.31%,0.06,-0.0462%,-0.0316%,$4.8m
Polkadot  DOT,$5.85,-0.77%,$768.4m,$188.9m,-10.33%,1.08%,0.25,+0.0058%,-0.0173%,$2.9m
Tron  TRX,$0.0915,+50.06%,$746.7m,$102.7m,-0.48%,0.59%,0.14,+0.0143%,-0.0037%,$2.1m
Band Protocol  BAND,$2.41,+49.38%,$723.8m,$30.7m,+53.12%,0.18%,0.04,-0.4991%,-0.4810%,$1.8m
STEPN  GMT,$0.4078,+2.22%,$676.7m,$45.4m,-4.84%,0.26%,0.07,+0.0306%,-0.0135%,$3.4m
Avalanche  AVAX,$15.31,+17.70%,$625.9m,$88.2m,-3.52%,0.51%,0.14,-0.0088%,-0.0158%,$2.3m
Cosmos  ATOM,$11.90,+13.58%,$555.9m,$65.3m,-1.30%,0.37%,0.12,+0.0710%,-0.0201%,$2.2m
1000LUNC  1000LUNC,$0.1962,+6.00%,$553.9m,$31.3m,-11.54%,0.18%,0.06,-0.0097%,-0.0118%,$1.2m
dYdX  DYDX,$1.66,+20.88%,$518.3m,$31.0m,+28.93%,0.18%,0.06,-0.1042%,-0.0742%,$1.6m
Filecoin  FIL,$4.64,+8.19%,$510.4m,$67.8m,-11.84%,0.39%,0.13,+0.0921%,+0.0333%,$1.7m
Optimism  OP,$1.05,+20.39%,$487.2m,$46.4m,+20.77%,0.27%,0.1,+0.0206%,+0.0045%,$946.0k
EOS  EOS,$0.9136,+1.30%,$469.1m,$97.7m,-15.21%,0.56%,0.21,-0.0323%,-0.0439%,$2.5m
NEAR Protocol  NEAR,$2.22,+3.37%,$467.4m,$55.3m,-5.26%,0.32%,0.12,+0.0028%,-0.0002%,$1.8m
1000SHIB  1000SHIB,$0.0101,+7.23%,$458.2m,$28.3m,-8.16%,0.16%,0.06,+0.0050%,+0.0096%,$1.7m
ApeCoin  APE,$3.49,+7.40%,$440.5m,$40.8m,-0.11%,0.23%,0.09,+0.0689%,+0.0501%,$2.1m
SushiSwap  SUSHI,$1.22,+11.17%,$377.3m,$27.0m,-10.73%,0.15%,0.07,-0.0358%,-0.0472%,$971.1k
The Sandbox  SAND,$0.6504,+4.15%,$353.7m,$36.0m,-14.04%,0.21%,0.1,+0.0659%,+0.0166%,$1.4m
Privacy Index FTX  PRIV,$770.40,+5.33%,$328.0m,$87.3k,-84.60%,0.00%,0.0,+0.0144%,+0.0136%,$1.6k
Uniswap  UNI,$5.67,+7.20%,$327.6m,$41.5m,-6.77%,0.24%,0.13,+0.0225%,+0.0020%,$767.7k
Bitcoin Cash  BCH,$102.54,+4.61%,$327.1m,$97.6m,-10.64%,0.56%,0.3,+0.0451%,+0.0151%,$1.4m
Axie Infinity  AXS,$7.10,+1.84%,$294.8m,$30.5m,-22.80%,0.18%,0.1,-0.0053%,+0.0015%,$1.6m
Gala  GALA,$0.0310,+13.71%,$265.8m,$33.2m,+6.19%,0.19%,0.12,+0.0255%,-0.0403%,$703.9k
Algorand  ALGO,$0.3083,+3.32%,$265.0m,$32.5m,-11.71%,0.19%,0.12,+0.0641%,+0.0039%,$1.3m
Curve DAO Token  CRV,$0.6889,+13.01%,$262.1m,$26.7m,-9.89%,0.15%,0.1,+0.0177%,+0.0475%,$705.2k
